scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-088,SUDDEN_OBSTACLE,40,10.566,40,wet,0.45,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,15.094,0.951,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-089,NORMAL_FOLLOWING,40,40.513,5,wet,0.45,0.2,lead_vehicle,SAFE,inside_ODD,16.205,29.169,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-090,CLOSE_TARGET,40,18.636,18.636,wet,0.45,0.2,lead_vehicle,CAUTION,inside_ODD,16.205,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-091,HIGH_CLOSING_RISK,40,15.395,27.711,wet,0.45,0.2,lead_vehicle,WARNING,inside_ODD,16.205,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-092,SUDDEN_OBSTACLE,40,11.344,40,wet,0.45,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,16.205,1.021,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-093,NORMAL_FOLLOWING,40,43.291,5,wet,0.45,0.3,lead_vehicle,SAFE,inside_ODD,17.316,31.17,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-094,CLOSE_TARGET,40,19.914,19.914,wet,0.45,0.3,lead_vehicle,CAUTION,inside_ODD,17.316,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-095,HIGH_CLOSING_RISK,40,16.451,29.611,wet,0.45,0.3,lead_vehicle,WARNING,inside_ODD,17.316,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-096,SUDDEN_OBSTACLE,40,12.122,40,wet,0.45,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,17.316,1.091,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-097,NORMAL_FOLLOWING,50,36.245,5,dry,0.75,0.1,lead_vehicle,SAFE,inside_ODD,14.498,26.096,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-098,CLOSE_TARGET,50,16.673,16.673,dry,0.75,0.1,lead_vehicle,CAUTION,inside_ODD,14.498,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-099,HIGH_CLOSING_RISK,50,13.773,24.792,dry,0.75,0.1,lead_vehicle,WARNING,inside_ODD,14.498,2,WARNING,0,Pass,Calculated state matches expected state.
